"chakra-button","chakra-button href","css-lvyu5j href","css-lvyu5j 2","css-1t92pv","css-0","css-195yc6f","css-195yc6f 2","css-195yc6f 3","css-195yc6f 4","css-195yc6f 5","css-195yc6f 6","css-195yc6f 7","css-195yc6f 8","chakra-text","chakra-text 2"
"Digital Content Editor - AI Trainer","https://www.simplyhired.com/job/oIQHEcgV8F1A_R39k-llpq9B0u_pogJdarFzv1nd4ILo-1IEJgHTfA","https://www.simplyhired.com/browse-jobs/companies/Dataannotation","DataAnnotation","Minneapolis, MN","4.1","From $20 an hour","Contract","Remote","Writing skills","English","Research","","","",""
"Servicing Travel Advisor III - Chase Travel (Remote-Florida)","https://www.simplyhired.com/job/ZrV-jlaujf51n6lBIJszaONbXRo05EX6jZuy2mPVcjU4U80oqDs54A","https://www.simplyhired.com/browse-jobs/companies/Jpmorganchase-2","JPMorganChase","Tampa, FL","3.9","Weekends as needed","Remote","Microsoft Excel","Microsoft Outlook","Mid-level","","","","",""
"Desktop Investigator","https://www.simplyhired.com/job/ifH6CHY_QN0uq7EK43a9c-IdFt5qYnAwXLFOePBul4HIYM4Sy9NIOA","https://www.simplyhired.com/browse-jobs/companies/Coventbridge-Group","CoventBridge Group","Grand Rapids, MI","2.7","$18 an hour","Full-time","Remote","Research","Associate's degree","Medical terminology","Paid training","Paid holidays","",""
"Servicing Travel Advisor III - Chase Travel (Remote - Tempe, AZ)","https://www.simplyhired.com/job/V8dfoRsi_W4cF8s3BE3MET5pdMPI9USp-95TMTRDg3XbWzwVf3uEmg","https://www.simplyhired.com/browse-jobs/companies/Jpmorganchase-2","JPMorganChase","Tempe, AZ","3.9","Weekends as needed","Remote","Microsoft Excel","Microsoft Outlook","Research","Health insurance","Tuition reimbursement","","",""
"Tree Trimmer / Climber","https://www.simplyhired.com/job/4SYThFV-1gt9dwYfbj4XcRM4YnH_2hJrmnZA3Tfq28bW7CQtLgJsHQ","","United Clearing Services","Remote","","$18.50 - $22.00 an hour","Weekends as needed","18 years or older","CPR Certification","Pass drug screening","AD&D insurance","Paid holidays","","Quick Apply","3h"
"Pharmacy Care Representative","https://www.simplyhired.com/job/HAbVkpX9GJjnkRoKrhMeRX-3rDXFrBpqHYWPgukph5kd4VePJ24ySA","https://www.simplyhired.com/browse-jobs/companies/CVS-Health","CVS Health","New Jersey","3.2","$17.00 - $31.30 an hour","Online Application","Remote","Microsoft Word","Microsoft Excel","Microsoft Outlook","Employee stock purchase plan","Paid holidays","","12d"
"Property Claims Representative","https://www.simplyhired.com/job/mtnR-zHARWCsz0pfWCFV7QT80tffRHkUBaPesXtr27lwKZLTg5jj4g","https://www.simplyhired.com/browse-jobs/companies/Fbl-Financial-Group,-Inc.","FBL Financial Group, Inc.","Remote","","Customer service","Driver's License","Driving","Paid holidays","Disability insurance","","","","",""
"Customer Service & Sales Agent","https://www.simplyhired.com/job/iFvkNlcszaIahpTWnurysILLa3BhpJjhOtFLC-1HRuecgi9ApbRSQA","https://www.simplyhired.com/browse-jobs/companies/Mountain-America-Credit-Union","Mountain America Credit Union","Utah","3.7","From $18.25 an hour","Full-time","Remote","Spanish","Microsoft Excel","Microsoft Outlook","Paid holidays","Health insurance","",""
"Customer Service Support Representative (REMOTE)","https://www.simplyhired.com/job/rDyjqsx8-Y1WbYtetF2yaV5EOI4psbT_ahgk9SCInN7LwlNvYK5-4Q","https://www.simplyhired.com/browse-jobs/companies/Labcorp","Labcorp","Burlington, NC","3.3","$16 - $25 an hour","Full-time","Remote","HIPAA","Research","Databases","Employee stock purchase plan","Disability insurance","","1d"
"Patient Advocate","https://www.simplyhired.com/job/VN5vHekdXCutKU-OEg5OadtBFljfi3VOXm5lXfcGAXgT9A0JWg_9-A","https://www.simplyhired.com/browse-jobs/companies/Atlas-Health","Atlas Health","Remote","1.8","$20.56 an hour","Part-time","Background check","Pass drug screening","High school diploma or GED","Paid time off","Work from home","","Quick Apply","4h"
"Medical Records Assistant","https://www.simplyhired.com/job/uPKnY-Uue_ecMtmFiwkDQFU2vh7MpktQItJgWtTSWXm3DnjsQ1Oqrg","https://www.simplyhired.com/browse-jobs/companies/Imedview,-Inc","Imedview, Inc","Saugerties, NY","3.6","$20 - $22 an hour","Remote","11+ years","Mid-level","Data entry","Health insurance","Dental insurance","","Quick Apply","1d"
"HOA Estoppel Researcher","https://www.simplyhired.com/job/8i-dXcz4sfwnSPt4_WvcN33NRkHgmzwrobmghSFhVFvidI8wLXlLWQ","https://www.simplyhired.com/browse-jobs/companies/Skyline-Lien-Search,-Inc.-1","Skyline Title Support","Remote","","From $18 an hour","Full-time","Remote","Microsoft Word","Background check","Microsoft Outlook","Health insurance","Dental insurance","Quick Apply","2h"
"Associate Learner Support Representative","https://www.simplyhired.com/job/1rdREWFK8ScK11_emV3oAh9_BLexE0DhZ6HemqDu_vy1G4gvBIs6Lg","https://www.simplyhired.com/browse-jobs/companies/Strategic-Education,-Inc.","Strategic Education, Inc.","Remote","3.7","$16.75 - $25.25 an hour","Full-time","Remote","Computer literacy","High school diploma or GED","Communication skills","Health savings account","Employee stock purchase plan","","1d"
"Editorial Assistant - Freelance","https://www.simplyhired.com/job/A6dijE1JEM1RUfPJnI1XiTSiT_pb4RnXQLQ7mKtAhAWk-1SkjuDe9w","https://www.simplyhired.com/browse-jobs/companies/Technica-Editorial-Services","Technica Editorial Services","Remote","","From $25 an hour","Part-time","Remote","English","Communication skills","Entry level","","","Quick Apply","2h"
"Real Estate Administrative Assistant","https://www.simplyhired.com/job/H6UPfvlW2UiV9luQ9IdgQzBm8zl3CfRf3BQ0t6zah2hRIxgcM6xQvw","https://www.simplyhired.com/browse-jobs/companies/Staats-Solutions","Staats Solutions","Remote","","$17 - $20 an hour","Remote","Administrative experience","Entry level","","","","","Quick Apply","2h"
"Team Member Customer Care - Part Time - Work At Home (OK, AL, GA Applications Only)","https://www.simplyhired.com/job/fqFUrgt76zcz5adJx3MINUDXbGmJ37gjMqI_OPvzhxFODzg5bAH2Yg","https://www.simplyhired.com/browse-jobs/companies/Academy-Sports-+-Outdoors","Academy Sports","Katy, TX","3.4","Part-time","Remote","Spanish","English","High school diploma or GED","","","","","1d"
"Administrative Data Clerk","https://www.simplyhired.com/job/LDM7VVjF98p9H5KAS22hLTQJ1EXZ3rp0Tz7I6kdqHQRPO-EDH79fRQ","","Fraxioned","Bountiful, UT","","Full-time","Remote","Microsoft Excel","Administrative experience","High school diploma or GED","","","","Quick Apply","2h"
"Paid Mock Jury Participant","https://www.simplyhired.com/job/tPSqrFfvPO5aept46MkYrURzA4OY3T5rfrzqakNndpVOBBI14HKBJA","https://www.simplyhired.com/browse-jobs/companies/The-Keenan-Law-Firm","THE KEENAN LAW FIRM","Atlanta, GA","3.6","$200 a day","Temporary","Remote","Entry level","","","","","Quick Apply","1d"
"Pre-Registration Part-time","https://www.simplyhired.com/job/OOmFhhwtcBnHX76Qiaip_HVZnaNZWDqJm3P3AAe4cM_t-RPT9sMnyQ","https://www.simplyhired.com/browse-jobs/companies/Tristar-Health-1","TriStar Summit Medical Center","Hermitage, TN","3.7","Part-time","Remote","High school diploma or GED","Entry level","Employee stock purchase plan","Disability insurance","","","Quick Apply","1d"
"Part time Customer Service Agent for a Keyboard Manufacturer","https://www.simplyhired.com/job/dhWrfEn0eOoNS-ByBxlaxr8cJ3P_ztbvzt7NvE1o5QXY2JJl4YZpYA","https://www.simplyhired.com/browse-jobs/companies/Ltvplus-5","LTVplus","Remote","4","Part-time","Remote","1 year","Communication skills","Entry level","","","","","13h"
"Processing Assistant","https://www.simplyhired.com/job/iTFNAxtbN7LGAB5tNYJsjtK0Xv88goYvBe4pcDOjUlDOovsgJkvomA","https://www.simplyhired.com/browse-jobs/companies/Goprime-Mortgage","GoPrime Mortgage","Remote","4.8","$18 - $23 an hour","Full-time","Remote","Background check","Microsoft Excel","Microsoft Outlook","Health insurance","Dental insurance","Quick Apply","3h"
"Municipal Transcriptionist","https://www.simplyhired.com/job/-6pJo4OugdTpzgGzOJYSltoZoezST5LPoK48HIcGPwE8ff6lMgmH2A","","TimeSaver Off Site Secretarial Service","Remote","","$23.94 - $24.83 an hour","Contract","Remote","Microsoft Word","Writing skills","Entry level","","","Quick Apply","23h"
"Data Entry Specialist - Remote","https://www.simplyhired.com/job/W0NzSL2t-bfWHN95T2ppmXB2lGhiOTXjPyykaTGDYeeSPKf04Mf0-w","https://www.simplyhired.com/browse-jobs/companies/ABC-Legal-Services","ABC Legal Services","Kansas City, KS","2.7","$15 an hour","Full-time","Remote","No experience needed","Microsoft Office","High school diploma or GED","AD&D insurance","Paid holidays","Quick Apply","18h"
"TRANSCRIPTIONIST","https://www.simplyhired.com/job/89CREXrReh5umi4eEE-KixO1WsyO8uDWpyhtxsj-Evr0JTts1m8t0A","https://www.simplyhired.com/browse-jobs/companies/Morrison-Community-Hospital","Morrison Community Hospital","Remote","3","Contract","Remote","Microsoft Word","Anatomy knowledge","Management","","","","","20h"
"Apprentice Media & Entertainment Travel Consultant","https://www.simplyhired.com/job/q8HdFkw3pZoGjYNUkhM7_tkkKBMRiEWjrr7ercoRjEs5lMHnE7x9tA","https://www.simplyhired.com/browse-jobs/companies/Bcd-e53600d2","BCD","Remote","3.8","$43,000 a year","Full-time","Remote","High school diploma or GED","Entry level","On-the-job training","Flexible schedule","","","1h"
"Customs Trade Agent","https://www.simplyhired.com/job/rYZavSuvjGMolPC4cncIMZ4lXKIICkWcN-4Okk-3hj9ReH6TJMAPwg","https://www.simplyhired.com/browse-jobs/companies/FedEx-Logistics","FedEx Logistics","Jonesboro, AR","3.9","Full-time","Remote","Microsoft Outlook","Customer service","No experience needed","Paid training","","","","12h"
"Land Records Indexing Agent - Remote","https://www.simplyhired.com/job/_-BjyAnO0fYgnjq-cQb5icPjhbxfIZ4bmnUTwlhDoy-TTsocCYZIWw","https://www.simplyhired.com/browse-jobs/companies/Liberty-Core-Consultants","Liberty Core Consultants","Omaha, NE","","$30 - $40 an hour","Full-time","Remote","Computer literacy","Mid-level","Data entry","Health savings account","401(k)","Quick Apply","1d"
"Premium Audit Coordinator (Part-Time, Remote)","https://www.simplyhired.com/job/hz0pXH_R1-aAU1nXI7s-IQ0zGBs0yxlga3rCOVNgGxHnXpU3pqjMIg","https://www.simplyhired.com/browse-jobs/companies/Davies","Davies","Remote","3.4","$14 - $16 an hour","Part-time","Remote","Writing skills","High school diploma or GED","Organizational skills","Paid holidays","Disability insurance","Quick Apply","1h"
"Patent Attorney/Patent Agent – Mandarin Speaking","https://www.simplyhired.com/job/d_KDljhwgUlSH8wgphwgUdObutWLL9TOQh1YgQAMLFCmTyqQiJKJjw","https://www.simplyhired.com/browse-jobs/companies/Ladas-&-Parry-LLP","Ladas & Parry LLP","Remote","3.3","$100,000 - $150,000 a year","Full-time","Remote","Background check","Writing skills","English","Health insurance","Dental insurance","Quick Apply",""
"Family Law Attorney (Bilingual Chinese and English)","https://www.simplyhired.com/job/chRNqJqa9myd0Bgt9o95imhwNamku_2lcxlg97VRrKTXf5WqyS40Vg","https://www.simplyhired.com/browse-jobs/companies/Sonicmax-Inc","Oriole legal management Inc","Remote","","$120,000 - $200,000 a year","Full-time","Heavy lifting","5 years","Writing skills","","","","Quick Apply",""
"Telehealth Registered Dietitian","https://www.simplyhired.com/job/12FAiSODxhrYgUFcl6yaftoic23KASQyptggQupwkJ4iYqoqnRXbOQ","https://www.simplyhired.com/browse-jobs/companies/Nourish-dbc247ae","Nourish","San Francisco Bay Area, CA","2","$50 - $55 an hour","Part-time","Remote","Background check","US work authorization","Telehealth","Continuing education credits","Health savings account","",""
"Telehealth Registered Dietitian","https://www.simplyhired.com/job/YQC0Kr3DbAcEReBvE0QCaEA33FSY1wyXKj20_ypHrzi9x5TFYOmoEw","https://www.simplyhired.com/browse-jobs/companies/Nourish-dbc247ae","Nourish","San Diego, CA","2","$50 - $55 an hour","Part-time","Remote","Background check","US work authorization","Telehealth","Continuing education credits","Health savings account","",""
"Outside Sales Representative","https://www.simplyhired.com/job/GfIrlQbFzl5vCie2QVmCdtl0roPtKtmBH2YkSvIKVC8Q8brcNdv2GQ","https://www.simplyhired.com/browse-jobs/companies/Groundworks-c4038440","Groundworks Operations, LLC","Ankeny, IA","3.2","Full-time","Remote","Customer service","Construction","Reliable transportation","Opportunities for advancement","","","",""
"Telehealth Registered Dietitian","https://www.simplyhired.com/job/p8GBU5szoQ00vjWp0V7ILQpbETsSWXuIF5AxMh11Lc99g74_W_ylig","https://www.simplyhired.com/browse-jobs/companies/Nourish-dbc247ae","Nourish","Maryland","2","$50 - $55 an hour","Part-time","Remote","Background check","US work authorization","Telehealth","Continuing education credits","Health savings account","",""
"Administrative Materials Coordinator - Camps","https://www.simplyhired.com/job/JP-YQSu681cK8-ryK7Qs_eA62Kv7jWgmREDAurHvbrQhLFWnrS4Tpw","https://www.simplyhired.com/browse-jobs/companies/Nms","NMS","Anchorage, AK","3.5","Evenings as needed","Remote","Clean driving record","Microsoft Excel","Microsoft Outlook","","","","","13d"
"Freight Broker Agent","https://www.simplyhired.com/job/yAEqMrcZ2sXD9dII2CLS3zcJDB2yZHb_2SME6bM1d_uFH6PbxqfA8w","https://www.simplyhired.com/browse-jobs/companies/Logistic-Dynamics-3","Logistic Dynamics, Inc.","Remote","4.1","$70,000 - $400,000 a year","Choose your own hours","Remote","Mid-level","Driver's License","Under 1 year","","","",""
"Real Estate Agent - Sales Associate","https://www.simplyhired.com/job/5Ep7uxvKWKV0AzoB3eicptN4uctAzE-xTpkd50Khj-PI-m5QCvlxEg","https://www.simplyhired.com/browse-jobs/companies/Core-Imaging-1","The Next Steps Group - Zillow Partner","Citrus County, FL","","$104,932.84 - $426,370.73 a year","Contract","Remote","Sales","Real Estate License","Entry level","","","Quick Apply","2h"
"Outside Sales Representative","https://www.simplyhired.com/job/tn1-4LcbW8FXQQS-mUlTl_qm8r2oCfi52uOTtEfOE_nZyRDYfYe9BQ","https://www.simplyhired.com/browse-jobs/companies/Groundworks-c4038440","Groundworks Operations, LLC","West Des Moines, IA","3.2","Full-time","Remote","Customer service","Construction","Reliable transportation","Opportunities for advancement","","","",""
"Telehealth Registered Dietitian","https://www.simplyhired.com/job/LDbXw_a0MsXpLln9x7YDR8xjKaTYf3-J5xW_NtvNfGvmS93lmTkCDQ","https://www.simplyhired.com/browse-jobs/companies/Nourish-dbc247ae","Nourish","Idaho","2","$50 - $55 an hour","Part-time","Remote","Background check","US work authorization","Telehealth","Continuing education credits","Health savings account","","13d"
"Field Tool Technician – Southeast","https://www.simplyhired.com/job/uYlyAqgLrx0Lhj2bx480t8xFUBZgl-bvEAfS0S8TZdxr1Xwiw930TA","https://www.simplyhired.com/browse-jobs/companies/Victaulic","Victaulic","North Carolina","3.3","Full-time","Remote","Schematics","Customer service","Maintenance","Disability insurance","Health insurance","","","21h"
"Outside Sales Representative","https://www.simplyhired.com/job/mM09oxeLNTMIlIcYD1gm5Ry4_BVwkLspvxk38S-kqTMzCbvSl1MZ9w","https://www.simplyhired.com/browse-jobs/companies/Groundworks-c4038440","Groundworks Operations, LLC","Des Moines, IA","3.2","Full-time","Remote","Customer service","Construction","Reliable transportation","Opportunities for advancement","","","",""
"988 NBU Online Crisis Counselor I","https://www.simplyhired.com/job/YWkHoMvZ6wnmRN3xnOFteBFw56egz1jlHKfk826lPWY72qMWmRj2Bw","https://www.simplyhired.com/browse-jobs/companies/Volunteers-of-America","Volunteers Of America Western Washington","Everett, WA","3.3","$25.31 - $27.97 an hour","Full-time","Remote","HIPAA","English","Mid-level","403(b) matching","Health savings account","",""
"Legal Transcriber with active or recent past Federal Clearance","https://www.simplyhired.com/job/OS3gRCEaq882IGvjh2tMT11X-PzLvND90ViY5nN8Vdn_6tyh9XUJ7g","https://www.simplyhired.com/browse-jobs/companies/Fenton-Transcription","Resolute Documentation Services","Remote","3","$20 - $35 an hour","Choose your own hours","5 years","Criminal background check","US work authorization","Flexible schedule","","","Quick Apply","11d"
"Inbound Sales Advisor - Fully Remote in Florida - April 13th start","https://www.simplyhired.com/job/7l7RLyo9PJJ3Ft2kunBInG1CoYZLgriZzHcb3x6jLDeUUSsmTf18pg","https://www.simplyhired.com/browse-jobs/companies/Delta-Defense-1","Delta Defense, LLC","Melbourne, FL","4","From $20 an hour","Full-time","Remote","Computer literacy","High school diploma or GED","Associate's degree","Paid training","Health savings account","","1d"
"Data Literacy Instructional Specialist II","https://www.simplyhired.com/job/o2B69ekBagbDZ47bNL7P7LAjfC050Dl1i5pMac-vSZTRVVXl9Dp-pg","https://www.simplyhired.com/browse-jobs/companies/Partner's-Consulting,-Inc.","Partners Consulting, Inc.","Philadelphia, PA","3.4","Contract","Remote","Microsoft Excel","Master's degree","Bachelor's degree","","","","Quick Apply",""
"Secondary Teacher - AI Trainer","https://www.simplyhired.com/job/rgDNl7PwzeL9iiikTHDvAxhfVB8RQfvO-40B9y4fIJC63yeJQMKbjA","https://www.simplyhired.com/browse-jobs/companies/Dataannotation","DataAnnotation","West Palm Beach, FL","4.1","From $20 an hour","Contract","Remote","Writing skills","English","Research","","","",""
"Pharmacy Technician/ Prior Authorization Specialist (PrimeRx experience preferred)","https://www.simplyhired.com/job/h9jzrf50MJhEYYU15f_nU0sU2NFeyC9cHQqrK_sx__USGcajHBzlcw","https://www.simplyhired.com/browse-jobs/companies/Squad-Health","Squad Health","Remote","","Up to $25 an hour","Full-time","Remote","English","Mid-level","High school diploma or GED","","","Quick Apply","1h"
"Arizona Remote Insurance Defense Partners (Up to $25,000 Signing Bonus) 3553826","https://www.simplyhired.com/job/h_H_HS32l0crZm9P6dmhHLZIy8vx5tOp9BRTJdVKjaZ8LD3w9AtjjQ","https://www.simplyhired.com/browse-jobs/companies/Resnick-&-Louis,-P.c.","Resnick & Louis, P.C.","Phoenix, AZ","4.1","Full-time","Remote","Background check","8 years","Senior level","","","","Quick Apply","6d"
"Real Estate Agent Apartment Locator - 80% COMMISSION SPLITS, $0 BROKER FEES!","https://www.simplyhired.com/job/ImoomR2feniOgJlj8DI9x3IVrOgzVtc0p5Lm5t9mUBz06TZMDmCz9w","https://www.simplyhired.com/browse-jobs/companies/Fancy-Apartments","Fancy Apartments","Austin, TX","5","$4,000 - $15,000 a month","Part-time","Remote","Real Estate License","Apartments","Communication skills","Employee assistance program","Employee discount","Quick Apply","2h"
"Telehealth Registered Dietitian","https://www.simplyhired.com/job/NGDfVzuGQCjNn8BpipoaD8I9FXfHbzOyXGgnDtorYGKMXzHjSxD8GA","https://www.simplyhired.com/browse-jobs/companies/Nourish-dbc247ae","Nourish","Washington, DC","2","$50 - $55 an hour","Part-time","Remote","Background check","US work authorization","Telehealth","Continuing education credits","Health savings account","",""
"Telehealth Registered Dietitian","https://www.simplyhired.com/job/sz2CtDL_bAkJiSKZVGHNG_txvBj2glWt1YTQwlMjxiWXW4Qn21f5iA","https://www.simplyhired.com/browse-jobs/companies/Nourish-dbc247ae","Nourish","San Antonio, TX","2","$50 - $55 an hour","Part-time","Remote","Background check","US work authorization","Telehealth","Continuing education credits","Health savings account","",""
"Sales Representative, Inbound Remote","https://www.simplyhired.com/job/dTsBG7H3MGfTgqxopq0bTCOGccM_lyRjiuvLmJb_0DHG42ld9_t9Cw","https://www.simplyhired.com/browse-jobs/companies/Liberty-Mutual-Insurance","Liberty Mutual","Baton Rouge, LA","3.5","$45,000 - $85,000 a year","Full-time","Remote","Office","Organizational skills","Typing","Paid training","Health insurance","",""
"Supervisor, AP/AR - Energy Billing","https://www.simplyhired.com/job/PViOX8MXbjP3R2c1WhxtC8R3QmqZyeTH6UTDm3LRmv-UtBASL5I--w","https://www.simplyhired.com/browse-jobs/companies/Chs-Inc.-9","CHS Inc","Inver Grove Heights, MN","3.5","$71,700 - $119,700 a year","Email","Remote","Inventory management","Mid-level","Finance","Profit sharing","Disability insurance","","8h"
"Remote Mental Health Provider (LMFT)","https://www.simplyhired.com/job/qOPQ4mRrLhu4y88YpJLB6JuUQoPMPQ1wQS1hAz1O9jfH9CReedtgcg","https://www.simplyhired.com/browse-jobs/companies/Telemynd","Telemynd","Bakersfield, CA","4.2","From $70 an hour","Choose your own hours","Remote","Background check","LMFT","Licensed Clinical Social Worker","Flexible schedule","","Quick Apply",""
"Sales Representative, Inbound Remote","https://www.simplyhired.com/job/adlSXaLQ24ghtwOKcJkg0ylkgGC5fEMyL4H3txCbjaNyItBtSpan2g","https://www.simplyhired.com/browse-jobs/companies/Liberty-Mutual-Insurance","Liberty Mutual","Shreveport, LA","3.5","$45,000 - $85,000 a year","Full-time","Remote","Office","Organizational skills","Typing","Paid training","Health insurance","",""
"Nevada Remote Insurance Defense Partner (Up to $25,000 Signing Bonus) 3249163","https://www.simplyhired.com/job/7BzKVne_MBthj8jF9TXcbnylhfPXVjw89jMfcnjAatS2x-r8mqvbxw","https://www.simplyhired.com/browse-jobs/companies/Resnick-&-Louis,-P.c.","Resnick & Louis, P.C.","Reno, NV","4.1","Full-time","Remote","Background check","8 years","Senior level","Health insurance","Dental insurance","","Quick Apply","6d"
"Remote MSDRG Auditor","https://www.simplyhired.com/job/rb0KpJk38hZgBX-vNDnTO53jLYmO0EjsWPiLadqN2xEerwl-4U2b9Q","https://www.simplyhired.com/browse-jobs/companies/CGI","CGI Group, Inc.","Atlanta, GA","3.6","$58,000 - $114,900 a year","Remote","Microsoft Excel","Microsoft Outlook","5 years","Paid parental leave","Paid holidays","","",""
"Associate Attorney - Nevada","https://www.simplyhired.com/job/QVgv5dV-CYTv_hYjmNQGOycZCBrriSOVz3eadGfDn6EcdXzt-JjiXA","https://www.simplyhired.com/browse-jobs/companies/Ghidotti-Berger-1","Ghidotti Berger","Nevada","4.3","Full-time","Remote","Background check","Mid-level","Residential","Health savings account","Disability insurance","","Quick Apply",""
"Advanced Composite Blade Technician III","https://www.simplyhired.com/job/l9yFsj0ON4E1axV0PiFzfGmYlL39h3Ed41df5NK0Lctq4-kdt6FBgQ","https://www.simplyhired.com/browse-jobs/companies/Pearce-Services-3","Pearce Services","Remote","","$29 - $45 an hour","Full-time","Background check","Schematics","3 years","Paid training","Health savings account","","Quick Apply",""
"Service Coordinator - AI Trainer","https://www.simplyhired.com/job/fwiy3HIdDRlSosNM8hm4yVwAM37vk8eM_KEpRAPass53IPA0HQWZ1g","https://www.simplyhired.com/browse-jobs/companies/Dataannotation","DataAnnotation","Arlington, VA","4.1","From $20 an hour","Contract","Remote","Writing skills","English","Research","","","",""
"California Remote Insurance Defense Partner Positions (Up to $25,000 Signing Bonus) 2984199","https://www.simplyhired.com/job/iK6rvXXqSg73u75GpGylxFxg_bF90KRFBxL5OWuTn5EwI1VWQUclWA","https://www.simplyhired.com/browse-jobs/companies/Resnick-&-Louis,-P.c.","Resnick & Louis, P.C.","California","4.1","$110,000 - $210,000 a year","Full-time","Remote","Background check","Senior level","10 years","Health insurance","Dental insurance","Quick Apply","6d"
"Medical Insurance/Denials Specialist -Work from home (must reside in Texas)","https://www.simplyhired.com/job/3trqRVreDmWJpS6gy4ElrIEYhm0akRyw58_R5Wp1MmLOfXDPqrPoiQ","https://www.simplyhired.com/browse-jobs/companies/Fma-Alliance,-Ltd-(willowbrook-Mall-Area)","FMA Alliance, Ltd (Willowbrook Mall Area)","Texas","2.3","From $20 an hour","Full-time","Remote","Background check","Microsoft Excel","Pass drug screening","Health insurance","Dental insurance","Quick Apply",""
"Nevada Remote Insurance Defense Partner (Up to $25,000 Signing Bonus) 3336086","https://www.simplyhired.com/job/rWVOjXxb_GTYycci4xcLTdD9o8jAKwQ8gB_uGAw_shARpjRCiHv-SQ","https://www.simplyhired.com/browse-jobs/companies/Resnick-&-Louis,-P.c.","Resnick & Louis, P.C.","Las Vegas, NV","4.1","Full-time","Remote","Background check","8 years","Senior level","Health insurance","Dental insurance","","Quick Apply","7d"
